Name,TaskType,ProgressType,Set,TID,InfoTID,IconSWF,IconExportName,Score,DurationMinutes,Quantity,Quantity2,Data1,Data2,SelectionWeight,MinLeague,MaxLeague,Disabled,Default,Heading
LootElixirIntense,LootResources,Accumulative,Intense,Elixir Embezzlement,Loot a total of 750000 Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_Elixir,250,60,750000,,Elixir,,45,0,10,,1,Loot Challenges
LootElixirRush,LootResources,Accumulative,Rush,Elixir Embezzlement,Loot a total of 1000000 Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_Elixir,350,60,1000000,,Elixir,,30,0,10,,,Loot Challenges
BeatGoldTarget,LootResources,Best,Regular,Gold Challenge,Loot at least 200000 Gold from a single Multiplayer Battle.,sc/ui.sc,Home_Get_Goldtarget,100,480,200000,,Gold,,60,0,10,,1,Loot Challenges
LootGoldEpic,LootResources,Accumulative,Epic,Gold Grab,Loot a total of 1250000 Gold from Multiplayer Battles.,sc/ui.sc,Home_Loot_Gold,250,1440,1250000,,Gold,,45,0,10,,1,Loot Challenges
LootGoldMarathon,LootResources,Accumulative,Marathon,Gold Grab,Loot a total of 2000000 Gold from Multiplayer Battles.,sc/ui.sc,Home_Loot_Gold,400,2880,2000000,,Gold,,45,0,10,,1,Loot Challenges
LootGold,LootResources,Accumulative,Regular,Gold Grab,Loot a total of 500000 Gold from Multiplayer Battles.,sc/ui.sc,Home_Loot_Gold,125,480,500000,,Gold,,90,0,10,,1,Loot Challenges
LootGoldIntense,LootResources,Accumulative,Intense,Gold Grab,Loot a total of 750000 Gold from Multiplayer Battles.,sc/ui.sc,Home_Loot_Gold,250,60,750000,,Gold,,45,0,10,,1,Loot Challenges
LootGoldRush,LootResources,Accumulative,Rush,Gold Grab,Loot a total of 1000000 Gold from Multiplayer Battles.,sc/ui.sc,Home_Loot_Gold,350,60,1000000,,Gold,,30,0,10,,,Loot Challenges
GetHomeBattleStarsVersusHigherTownHallRegular,GetHomeBattleStarsVersusHigherTownHall,Accumulative,Regular,Attack Up,Earn 3 Stars against opponents with a Townhall level higher than yours in Multiplayer Battles.,sc/ui.sc,Higher_TH_Kill_Icon,200,480,3,,,,180,0,10,,,Battle Challenges
WinHomeBattle3StarsVersusTownHall8Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Exciting 8s,Earn 3 Stars against opponents with Town Hall 8 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl8,150,480,3,8,,,180,0,10,,,Battle Challenges
WinHomeBattle3StarsVersusTownHall11Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Exotic 11s,Earn 3 Stars against opponents with Town Hall 11 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl11,150,480,3,11,,,180,0,10,,,Battle Challenges
GetHeroLevelKillsAllHeroesRegular,GetHeroLevelKills,Accumulative,Regular,Hero Level Hunter,Knock out 100 levels worth of heroes in Multiplayer Battles.,sc/ui.sc,Stun_All_Heroes_Icon,150,480,100,,,,180,0,10,,,Battle Challenges
WinHomeBattles3Stars,WinHomeBattles3Stars,Accumulative,Regular,Hunt for Three Stars,Score a perfect 3-Stars in 1x Multiplayer Battles.,sc/ui.sc,Home_Get_3Stars_Icon,200,480,1,,,,72,0,10,,,Battle Challenges
GetHeroLevelKillsBarbarianKingRegular,GetHeroLevelKills,Accumulative,Regular,King Level Hunter,Knock out 50 levels worth of Barbarian King in Multiplayer Battles.,sc/ui.sc,Stun_BK_Icon,150,480,50,,Barbarian King,,180,0,10,,1,Battle Challenges
GetHomeBattleDestructionEpic,GetHomeBattleDestruction,Accumulative,Epic,Lord of Destruction,Gather a total of 250% destruction from Multiplayer Battles.,sc/ui.sc,Home_Get_Desturction_Icon,250,1440,250,,,,90,0,10,,1,Battle Challenges
GetHomeBattleDestructionMarathon,GetHomeBattleDestruction,Accumulative,Marathon,Lord of Destruction,Gather a total of 600% destruction from Multiplayer Battles.,sc/ui.sc,Home_Get_Desturction_Icon,400,2880,600,,,,90,0,10,,1,Battle Challenges
GetHomeBattleDestruction,GetHomeBattleDestruction,Accumulative,Regular,Lord of Destruction,Gather a total of 100% destruction from Multiplayer Battles.,sc/ui.sc,Home_Get_Desturction_Icon,100,480,100,,,,180,0,10,,1,Battle Challenges
GetHomeBattleStarsNoHeroesRegular,GetHomeBattleStarsNoHeroes,Accumulative,Regular,No Heroics Allowed,Earn 3 Stars without using heroes in Multiplayer Battles.,sc/ui.sc,No_Heroes_Icon,200,480,3,,,,180,0,10,,1,Battle Challenges
GetHomeBattleStarsNoSpellsRegular,GetHomeBattleStarsNoSpells,Accumulative,Regular,No-Magic Zone,Earn 3 Stars without using spells in Multiplayer Battles.,sc/ui.sc,No_Spells_Icon,200,480,3,,,,180,0,10,,1,Battle Challenges
WinHomeBattle3StarsVersusTownHall9Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Noble 9s,Earn 3 Stars against opponents with Town Hall 9 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl9,150,480,3,9,,,180,0,10,,,Battle Challenges
WinHomeBattlesEpic,WinHomeBattles,Accumulative,Epic,Pile of Victories,Win 5x Multiplayer Battles.,sc/ui.sc,Home_Win_Battles_Icon,250,1440,5,,,,36,0,10,,1,Battle Challenges
WinHomeBattlesMarathon,WinHomeBattles,Accumulative,Marathon,Pile of Victories,Win 8x Multiplayer Battles.,sc/ui.sc,Home_Win_Battles_Icon,400,2880,8,,,,36,0,10,,1,Battle Challenges
WinHomeBattles,WinHomeBattles,Accumulative,Regular,Pile of Victories,Win 2x Multiplayer Battles.,sc/ui.sc,Home_Win_Battles_Icon,100,480,2,,,,72,0,10,,1,Battle Challenges
WinHomeBattlesIntense,WinHomeBattles,Accumulative,Intense,Pile of Victories,Win 3x Multiplayer Battles.,sc/ui.sc,Home_Win_Battles_Icon,250,60,3,,Gold Mine,,36,0,10,,1,Battle Challenges
WinHomeBattlesRush,WinHomeBattles,Accumulative,Rush,Pile of Victories,Win 4x Multiplayer Battles.,sc/ui.sc,Home_Win_Battles_Icon,350,60,4,,,,24,0,10,,,Battle Challenges
GetHeroLevelKillsArcherQueenRegular,GetHeroLevelKills,Accumulative,Regular,Queen Level Hunter,Knock out 50 levels worth of Archer Queen in Multiplayer Battles.,sc/ui.sc,Stun_AQ_Icon,150,480,50,,Archer Queen,,180,0,10,,,Battle Challenges
WinHomeBattle3StarsVersusTownHall6Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Scrappy 6s,Earn 3 Stars against opponents with Town Hall 6 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl6,150,480,3,6,,,180,0,10,,,Battle Challenges
WinHomeBattleVersusLeagueTitanRegular,GetHomeBattleStarsVersusLeague,Accumulative,Regular,Slaying the Titans,Earn 2 Stars in Multiplayer Battles against opponents in Titan League.,sc/ui.sc,Titan_League_Wins_Icon,300,480,2,,Hero3,,180,0,10,,,Battle Challenges
GetHomeStarsUnderTimeLimitRegular,GetHomeStarsUnderTimeLimit,Accumulative,Regular,Speedy Stars,Collect 3x Stars from Multiplayer Battles. Only Stars earned in the first 60 seconds count.,sc/ui.sc,Home_Time_Stars_Icon,250,480,3,60,,,180,0,10,,1,Battle Challenges
GetHomeBattleStarsEpic,GetHomeBattleStars,Accumulative,Epic,Star Collector,Collect a total of 10x Stars from Multiplayer Battles.,sc/ui.sc,Home_Collect_Stars_Icon,250,1440,10,,,,90,0,10,,1,Battle Challenges
GetHomeBattleStarsMarathon,GetHomeBattleStars,Accumulative,Marathon,Star Collector,Collect a total of 16x Stars from Multiplayer Battles.,sc/ui.sc,Home_Collect_Stars_Icon,400,2880,16,,,,90,0,10,,1,Battle Challenges
GetHomeBattleStars,GetHomeBattleStars,Accumulative,Regular,Star Collector,Collect a total of 3x Stars from Multiplayer Battles.,sc/ui.sc,Home_Collect_Stars_Icon,100,480,3,,,,180,0,10,,1,Battle Challenges
WinHomeBattle3StarsVersusTownHall7Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Super 7s,Earn 3 Stars against opponents with Town Hall 7 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl7,150,480,3,7,,,180,0,10,,,Battle Challenges
WinHomeBattle3StarsVersusTownHall10Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Terrific 10s,Earn 3 Stars against opponents with Town Hall 10 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl10,150,480,3,10,,,180,0,10,,,Battle Challenges
WinHomeBattle3StarsVersusTownHall12Regular,GetHomeBattleStarsVersusTownHall,Accumulative,Regular,Triumphant 12s,Earn 3 Stars against opponents with Town Hall 12 in Multiplayer Battles.,sc/buildings.sc,town_hall_lvl12_t5,150,480,3,12,,,180,0,10,,,Battle Challenges
GetHeroLevelKillsGrandWardenRegular,GetHeroLevelKills,Accumulative,Regular,Warden Level Hunter,Knock out 20 levels worth of Grand Warden in Multiplayer Battles.,sc/ui.sc,Stun_Elder_Icon,150,480,20,,Grand Warden,,180,0,10,,,Battle Challenges
WinHomeBattlesInRowEpic,WinHomeBattles,Consecutive,Epic,Winning Streak,Win 5x Multiplayer Battles in a row.,sc/ui.sc,Home_Win_Battles_Icon,500,1440,5,,,,24,0,10,,,Battle Challenges
WinHomeBattlesInRowMarathon,WinHomeBattles,Consecutive,Marathon,Winning Streak,Win 8x Multiplayer Battles in a row.,sc/ui.sc,Home_Win_Battles_Icon,800,2880,8,,,,24,0,10,,,Battle Challenges
WinHomeBattlesInRow,WinHomeBattles,Consecutive,Regular,Winning Streak,Win 2x Multiplayer Battles in a row.,sc/ui.sc,Home_Win_Battles_Icon,200,480,2,,DarkElixir,,48,0,10,,1,Battle Challenges
WinHomeBattlesInRowIntense,WinHomeBattles,Consecutive,Intense,Winning Streak,Win 3x Multiplayer Battles in a row.,sc/ui.sc,Home_Win_Battles_Icon,300,60,3,,Bow,,24,0,10,,,Battle Challenges
WinHomeBattlesInRowRush,WinHomeBattles,Consecutive,Rush,Winning Streak,Win 4x Multiplayer Battles in a row.,sc/ui.sc,Home_Win_Battles_Icon,350,60,4,,,,16,0,10,,,Battle Challenges
DestroyArcherTowersSmall,DestroyBuilding,Accumulative,Small,Archer Tower Assault,Destroy 4x Archer Tower in Multiplayer Battles.,sc/buildings.sc,tower_turret_lvl3,50,180,4,,Archer Tower,,5,0,10,,1,Destruction Challenges
DestroyArcherTowers,DestroyBuilding,Accumulative,Regular,Archer Tower Assault,Destroy 8x Archer Tower in Multiplayer Battles.,sc/buildings.sc,tower_turret_lvl3,100,480,8,,Archer Tower,,27,0,10,,1,Destruction Challenges
DestroyArcherTowersIntense,DestroyBuilding,Accumulative,Intense,Archer Tower Assault,Destroy 12x Archer Tower in Multiplayer Battles.,sc/buildings.sc,tower_turret_lvl3,250,60,12,,Archer Tower,,14,0,10,,,Destruction Challenges
DestroyArcherTowersRush,DestroyBuilding,Accumulative,Rush,Archer Tower Assault,Destroy 16x Archer Tower in Multiplayer Battles.,sc/buildings.sc,tower_turret_lvl3,350,60,16,,Archer Tower,,9,0,10,,,Destruction Challenges
DestroyHomeBuildingsEpic,DestroyHomeBuildings,Accumulative,Epic,Building Breakdown,Destroy 250x Buildings in Multiplayer Battles.,sc/ui.sc,Home_Destroy_Buidings_Icon,500,1440,250,,,,36,0,10,,1,Destruction Challenges
DestroyHomeBuildingsRegular,DestroyHomeBuildings,Accumulative,Regular,Building Breakdown,Destroy 50x Buildings in Multiplayer Battles.,sc/ui.sc,Home_Destroy_Buidings_Icon,100,480,50,,,,180,0,10,,1,Destruction Challenges
DestroyHomeBuildingsIntense,DestroyHomeBuildings,Accumulative,Intense,Building Breakdown,Destroy 150x Buildings in Multiplayer Battles.,sc/ui.sc,Home_Destroy_Buidings_Icon,250,60,150,,,,36,0,10,,1,Destruction Challenges
DestroyCannonsSmall,DestroyBuilding,Accumulative,Small,Cannon Carnage,Destroy 5x Cannon in Multiplayer Battles.,sc/buildings.sc,basic_turret_lvl7,50,180,5,,Cannon,,5,0,10,,1,Destruction Challenges
DestroyCannons,DestroyBuilding,Accumulative,Regular,Cannon Carnage,Destroy 10x Cannon in Multiplayer Battles.,sc/buildings.sc,basic_turret_lvl7,100,480,10,,Cannon,,27,0,10,,1,Destruction Challenges
DestroyCannonsIntense,DestroyBuilding,Accumulative,Intense,Cannon Carnage,Destroy 15x Cannon in Multiplayer Battles.,sc/buildings.sc,basic_turret_lvl7,250,60,15,,Cannon,,14,0,10,,,Destruction Challenges
DestroyCannonsRush,DestroyBuilding,Accumulative,Rush,Cannon Carnage,Destroy 20x Cannon in Multiplayer Battles.,sc/buildings.sc,basic_turret_lvl7,350,60,20,,Cannon,,9,0,10,,,Destruction Challenges
DestroyClanCastlesSmall,DestroyBuilding,Accumulative,Small,Clan Castle Charge,Destroy 1x Clan Castle in Multiplayer Battles.,sc/buildings.sc,alliance_castle_lvl2,50,180,1,,Alliance Castle,,5,0,10,,,Destruction Challenges
DestroyClanCastles,DestroyBuilding,Accumulative,Regular,Clan Castle Charge,Destroy 2x Clan Castle in Multiplayer Battles.,sc/buildings.sc,alliance_castle_lvl2,100,480,2,,Alliance Castle,,27,0,10,,,Destruction Challenges
DestroyClanCastlesIntense,DestroyBuilding,Accumulative,Intense,Clan Castle Charge,Destroy 3x Clan Castle in Multiplayer Battles.,sc/buildings.sc,alliance_castle_lvl2,250,60,3,,Alliance Castle,,14,0,10,,,Destruction Challenges
DestroyClanCastlesRush,DestroyBuilding,Accumulative,Rush,Clan Castle Charge,Destroy 4x Clan Castle in Multiplayer Battles.,sc/buildings.sc,alliance_castle_lvl2,350,60,4,,Alliance Castle,,9,0,10,,,Destruction Challenges
DestroyDarkElixirPumpsSmall,DestroyBuilding,Accumulative,Small,Dark Elixir Plumbers,Destroy 2x Dark Elixir Drill in Multiplayer Battles.,sc/buildings.sc,darkelixir_pump_lvl4,50,180,2,,Dark Elixir Pump,,5,0,10,,1,Destruction Challenges
DestroyDarkElixirPumps,DestroyBuilding,Accumulative,Regular,Dark Elixir Plumbers,Destroy 4x Dark Elixir Drill in Multiplayer Battles.,sc/buildings.sc,darkelixir_pump_lvl4,100,480,4,,Dark Elixir Pump,,27,0,10,,1,Destruction Challenges
DestroyDarkElixirPumpsIntense,DestroyBuilding,Accumulative,Intense,Dark Elixir Plumbers,Destroy 6x Dark Elixir Drill in Multiplayer Battles.,sc/buildings.sc,darkelixir_pump_lvl4,250,60,6,,Dark Elixir Pump,,14,0,10,,,Destruction Challenges
DestroyDarkElixirPumpsRush,DestroyBuilding,Accumulative,Rush,Dark Elixir Plumbers,Destroy 8x Dark Elixir Drill in Multiplayer Battles.,sc/buildings.sc,darkelixir_pump_lvl4,350,60,8,,Dark Elixir Pump,,9,0,10,,,Destruction Challenges
DestroyDarkElixirStoragesSmall,DestroyBuilding,Accumulative,Small,Dark Elixir Storage Raid,Destroy 1x Dark Elixir Storage in Multiplayer Battles.,sc/buildings.sc,darkelixir_storage_level3,50,180,1,,Dark Elixir Storage,,5,0,10,,,Destruction Challenges
DestroyDarkElixirStorages,DestroyBuilding,Accumulative,Regular,Dark Elixir Storage Raid,Destroy 2x Dark Elixir Storage in Multiplayer Battles.,sc/buildings.sc,darkelixir_storage_level3,100,480,2,,Dark Elixir Storage,,27,0,10,,,Destruction Challenges
DestroyDarkElixirStoragesIntense,DestroyBuilding,Accumulative,Intense,Dark Elixir Storage Raid,Destroy 3x Dark Elixir Storage in Multiplayer Battles.,sc/buildings.sc,darkelixir_storage_level3,250,60,3,,Dark Elixir Storage,,14,0,10,,,Destruction Challenges
DestroyDarkElixirStoragesRush,DestroyBuilding,Accumulative,Rush,Dark Elixir Storage Raid,Destroy 4x Dark Elixir Storage in Multiplayer Battles.,sc/buildings.sc,darkelixir_storage_level3,350,60,4,,Dark Elixir Storage,,9,0,10,,,Destruction Challenges
DestroyDarkSpellFactoriesSmall,DestroyBuilding,Accumulative,Small,Dark Spell Factory Sabotage,Destroy 1x Dark Spell Factory in Multiplayer Battles.,sc/buildings.sc,mini_spell_distillery_lvl1,50,180,1,,Mini Spell Factory,,2,0,10,,1,Destruction Challenges
DestroyDarkSpellFactories,DestroyBuilding,Accumulative,Regular,Dark Spell Factory Sabotage,Destroy 2x Dark Spell Factory in Multiplayer Battles.,sc/buildings.sc,mini_spell_distillery_lvl1,75,480,2,,Mini Spell Factory,,11,0,10,,1,Destruction Challenges
DestroyDarkSpellFactoriesIntense,DestroyBuilding,Accumulative,Intense,Dark Spell Factory Sabotage,Destroy 3x Dark Spell Factory in Multiplayer Battles.,sc/buildings.sc,mini_spell_distillery_lvl1,175,60,3,,Mini Spell Factory,,5,0,10,,,Destruction Challenges
DestroyDarkSpellFactoriesRush,DestroyBuilding,Accumulative,Rush,Dark Spell Factory Sabotage,Destroy 4x Dark Spell Factory in Multiplayer Battles.,sc/buildings.sc,mini_spell_distillery_lvl1,250,60,4,,Mini Spell Factory,,9,0,10,,,Destruction Challenges
DestroyAirDefensesSmall,DestroyBuilding,Accumulative,Small,Destroy Air Defenses,Destroy 2x Air Defense in Multiplayer Battles.,sc/buildings.sc,fireworks_tower_lvl6,50,180,2,,Air Defense,,5,0,10,,1,Destruction Challenges
DestroyAirDefenses,DestroyBuilding,Accumulative,Regular,Destroy Air Defenses,Destroy 4x Air Defense in Multiplayer Battles.,sc/buildings.sc,fireworks_tower_lvl6,100,480,4,,Air Defense,,27,0,10,,1,Destruction Challenges
DestroyAirDefensesIntense,DestroyBuilding,Accumulative,Intense,Destroy Air Defenses,Destroy 6x Air Defense in Multiplayer Battles.,sc/buildings.sc,fireworks_tower_lvl6,250,60,6,,Air Defense,,14,0,10,,,Destruction Challenges
DestroyAirDefensesRush,DestroyBuilding,Accumulative,Rush,Destroy Air Defenses,Destroy 8x Air Defense in Multiplayer Battles.,sc/buildings.sc,fireworks_tower_lvl6,350,60,8,,Air Defense,,9,0,10,,,Destruction Challenges
DestroyAirSweepersSmall,DestroyBuilding,Accumulative,Small,Destroy Air Sweepers,Destroy 1x Air Sweeper in Multiplayer Battles.,sc/buildings.sc,air_mortar_lvl2,50,180,1,,Air Blaster,,5,0,10,,1,Destruction Challenges
DestroyAirSweepers,DestroyBuilding,Accumulative,Regular,Destroy Air Sweepers,Destroy 2x Air Sweeper in Multiplayer Battles.,sc/buildings.sc,air_mortar_lvl2,100,480,2,,Air Blaster,,27,0,10,,1,Destruction Challenges
DestroyAirSweepersIntense,DestroyBuilding,Accumulative,Intense,Destroy Air Sweepers,Destroy 3x Air Sweeper in Multiplayer Battles.,sc/buildings.sc,air_mortar_lvl2,250,60,3,,Air Blaster,,14,0,10,,,Destruction Challenges
DestroyAirSweepersRush,DestroyBuilding,Accumulative,Rush,Destroy Air Sweepers,Destroy 4x Air Sweeper in Multiplayer Battles.,sc/buildings.sc,air_mortar_lvl2,350,60,4,,Air Blaster,,9,0,10,,,Destruction Challenges
DestroyQueenAltarsSmall,DestroyBuilding,Accumulative,Small,Destroy Archer Queen Altars,Destroy 1x Archer Queen Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_archer_queen_lvl1,50,180,1,,Hero Altar Archer Queen,,2,0,10,,,Destruction Challenges
DestroyQueenAltars,DestroyBuilding,Accumulative,Regular,Destroy Archer Queen Altars,Destroy 2x Archer Queen Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_archer_queen_lvl1,75,480,2,,Hero Altar Archer Queen,,11,0,10,,,Destruction Challenges
DestroyQueenAltarsIntense,DestroyBuilding,Accumulative,Intense,Destroy Archer Queen Altars,Destroy 3x Archer Queen Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_archer_queen_lvl1,175,60,3,,Hero Altar Archer Queen,,5,0,10,,,Destruction Challenges
DestroyQueenAltarsRush,DestroyBuilding,Accumulative,Rush,Destroy Archer Queen Altars,Destroy 4x Archer Queen Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_archer_queen_lvl1,250,60,4,,Hero Altar Archer Queen,,9,0,10,,,Destruction Challenges
DestroyKingAltarsSmall,DestroyBuilding,Accumulative,Small,Destroy Barbarian King Altars,Destroy 1x Barbarian King Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_barbarian_king_lvl1,50,180,1,,Hero Altar Barbarian King,,2,0,10,,1,Destruction Challenges
DestroyKingAltars,DestroyBuilding,Accumulative,Regular,Destroy Barbarian King Altars,Destroy 2x Barbarian King Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_barbarian_king_lvl1,75,480,2,,Hero Altar Barbarian King,,11,0,10,,1,Destruction Challenges
DestroyKingAltarsIntense,DestroyBuilding,Accumulative,Intense,Destroy Barbarian King Altars,Destroy 3x Barbarian King Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_barbarian_king_lvl1,175,60,3,,Hero Altar Barbarian King,,5,0,10,,,Destruction Challenges
DestroyKingAltarsRush,DestroyBuilding,Accumulative,Rush,Destroy Barbarian King Altars,Destroy 4x Barbarian King Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_barbarian_king_lvl1,250,60,4,,Hero Altar Barbarian King,,9,0,10,,,Destruction Challenges
DestroyBombTowersSmall,DestroyBuilding,Accumulative,Small,Destroy Bomb Towers,Destroy 1x Bomb Tower in Multiplayer Battles.,sc/buildings.sc,bomb_tower_lvl1,50,180,1,,Bomb Tower,,5,0,10,,1,Destruction Challenges
DestroyBombTowers,DestroyBuilding,Accumulative,Regular,Destroy Bomb Towers,Destroy 2x Bomb Tower in Multiplayer Battles.,sc/buildings.sc,bomb_tower_lvl1,100,480,2,,Bomb Tower,,27,0,10,,1,Destruction Challenges
DestroyBombTowersIntense,DestroyBuilding,Accumulative,Intense,Destroy Bomb Towers,Destroy 3x Bomb Tower in Multiplayer Battles.,sc/buildings.sc,bomb_tower_lvl1,250,60,3,,Bomb Tower,,14,0,10,,,Destruction Challenges
DestroyBombTowersRush,DestroyBuilding,Accumulative,Rush,Destroy Bomb Towers,Destroy 4x Bomb Tower in Multiplayer Battles.,sc/buildings.sc,bomb_tower_lvl1,250,60,4,,Bomb Tower,,9,0,10,,,Destruction Challenges
DestroyWardenAltarsSmall,DestroyBuilding,Accumulative,Small,Destroy Grand Warden Altars,Destroy 1x Grand Warden Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_elder_lvl1,50,180,1,,Hero Altar Grand Warden,,2,0,10,,,Destruction Challenges
DestroyWardenAltars,DestroyBuilding,Accumulative,Regular,Destroy Grand Warden Altars,Destroy 2x Grand Warden Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_elder_lvl1,75,480,2,,Hero Altar Grand Warden,,11,0,10,,,Destruction Challenges
DestroyWardenAltarsIntense,DestroyBuilding,Accumulative,Intense,Destroy Grand Warden Altars,Destroy 3x Grand Warden Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_elder_lvl1,175,60,3,,Hero Altar Grand Warden,,5,0,10,,,Destruction Challenges
DestroyWardenAltarsRush,DestroyBuilding,Accumulative,Rush,Destroy Grand Warden Altars,Destroy 4x Grand Warden Altars in Multiplayer Battles.,sc/buildings.sc,heroaltar_elder_lvl1,250,60,4,,Hero Altar Grand Warden,,9,0,10,,,Destruction Challenges
DestroyInfernoTowersEpic,DestroyBuilding,Accumulative,Epic,Destroy Inferno Towers,Destroy 5x Inferno Tower in Multiplayer Battles.,sc/buildings.sc,dark_tower_lvl2,300,1440,5,,Dark Tower,,14,0,10,,1,Destruction Challenges
DestroyInfernoTowersSmall,DestroyBuilding,Accumulative,Small,Destroy Inferno Towers,Destroy 1x Inferno Tower in Multiplayer Battles.,sc/buildings.sc,dark_tower_lvl2,50,180,1,,Dark Tower,,5,0,10,,1,Destruction Challenges
DestroyInfernoTowersMarathon,DestroyBuilding,Accumulative,Marathon,Destroy Inferno Towers,Destroy 8x Inferno Tower in Multiplayer Battles.,sc/buildings.sc,dark_tower_lvl2,400,2880,8,,Dark Tower,,14,0,10,,1,Destruction Challenges
DestroyInfernoTowers,DestroyBuilding,Accumulative,Regular,Destroy Inferno Towers,Destroy 2x Inferno Tower in Multiplayer Battles.,sc/buildings.sc,dark_tower_lvl2,125,480,2,,Dark Tower,,27,0,10,,1,Destruction Challenges
DestroyInfernoTowersIntense,DestroyBuilding,Accumulative,Intense,Destroy Inferno Towers,Destroy 3x Inferno Tower in Multiplayer Battles.,sc/buildings.sc,dark_tower_lvl2,250,60,3,,Dark Tower,,14,0,10,,,Destruction Challenges
DestroyInfernoTowersRush,DestroyBuilding,Accumulative,Rush,Destroy Inferno Towers,Destroy 4x Inferno Tower in Multiplayer Battles.,sc/buildings.sc,dark_tower_lvl2,350,60,4,,Dark Tower,,9,0,10,,,Destruction Challenges
DestroyTeslaTowersSmall,DestroyBuilding,Accumulative,Small,Destroy Tesla Towers,Destroy 2x Hidden Tesla in Multiplayer Battles.,sc/buildings.sc,teslatower_lvl5_setup,50,180,2,,Tesla Tower,,5,0,10,,,Destruction Challenges
